Region: Orsinium Area
B0000004.RDB,   X:1, Z:0



Block Count Breakdown For This Region:

B0000011.RDB:  39
B0000002.RDB:  36
B0000014.RDB:  32
B0000001.RDB:  31
B0000013.RDB:  30
B0000010.RDB:  29
B0000006.RDB:  28
B0000005.RDB:  28
B0000003.RDB:  27
B0000009.RDB:  27
B0000004.RDB:  24
B0000008.RDB:  24
B0000000.RDB:  22
B0000012.RDB:  22
B0000007.RDB:  21
W0000022.RDB:  5
N0000011.RDB:  5
N0000055.RDB:  4
W0000015.RDB:  4
W0000023.RDB:  4
N0000071.RDB:  4
W0000009.RDB:  3
W0000021.RDB:  3
W0000025.RDB:  3
N0000003.RDB:  3
N0000075.RDB:  3
N0000022.RDB:  3
N0000031.RDB:  3
W0000028.RDB:  3
N0000042.RDB:  3
W0000020.RDB:  3
W0000008.RDB:  3
N0000083.RDB:  2
W0000027.RDB:  2
N0000067.RDB:  2
N0000051.RDB:  2
N0000089.RDB:  2
N0000008.RDB:  2
M0000003.RDB:  2
M0000004.RDB:  2
N0000015.RDB:  2
W0000029.RDB:  2
N0000087.RDB:  2
N0000073.RDB:  2
N0000044.RDB:  2
N0000065.RDB:  2
W0000014.RDB:  2
N0000005.RDB:  2
W0000001.RDB:  2
N0000024.RDB:  2
W0000013.RDB:  2
N0000025.RDB:  2
N0000039.RDB:  2
N0000061.RDB:  2
N0000057.RDB:  2
N0000078.RDB:  2
N0000014.RDB:  2
N0000066.RDB:  2
N0000076.RDB:  2
N0000049.RDB:  2
N0000069.RDB:  2
W0000002.RDB:  2
N0000082.RDB:  1
N0000086.RDB:  1
N0000063.RDB:  1
W0000004.RDB:  1
N0000052.RDB:  1
N0000084.RDB:  1
N0000074.RDB:  1
W0000003.RDB:  1
N0000009.RDB:  1
S0000020.RDB:  1
S0000021.RDB:  1
S0000022.RDB:  1
N0000004.RDB:  1
W0000010.RDB:  1
W0000006.RDB:  1
N0000060.RDB:  1
N0000068.RDB:  1
N0000091.RDB:  1
N0000056.RDB:  1
N0000038.RDB:  1
N0000030.RDB:  1
N0000043.RDB:  1
N0000016.RDB:  1
N0000062.RDB:  1
N0000029.RDB:  1
W0000007.RDB:  1
N0000012.RDB:  1
N0000090.RDB:  1
N0000021.RDB:  1
N0000033.RDB:  1
N0000054.RDB:  1
N0000058.RDB:  1
W0000011.RDB:  1
N0000040.RDB:  1
N0000020.RDB:  1
N0000019.RDB:  1
N0000045.RDB:  1
N0000018.RDB:  1
W0000005.RDB:  1
N0000080.RDB:  1
N0000041.RDB:  1
N0000006.RDB:  1
N0000023.RDB:  1
N0000059.RDB:  1
W0000019.RDB:  1
N0000034.RDB:  1
N0000007.RDB:  1
W0000017.RDB:  1
N0000079.RDB:  1
N0000000.RDB:  1
N0000081.RDB:  1
N0000013.RDB:  1
N0000047.RDB:  1
N0000032.RDB:  1
N0000001.RDB:  1
N0000002.RDB:  1
W0000012.RDB:  1
N0000035.RDB:  1

END
