Region: Ilessan Hills
W0000023.RDB,   X:-1, Z:1
B0000011.RDB,   X:-1, Z:2
B0000007.RDB,   X:0, Z:-1
N0000064.RDB,   X:0, Z:0
W0000027.RDB,   X:0, Z:1
B0000007.RDB,   X:0, Z:2
B0000007.RDB,   X:1, Z:0
B0000012.RDB,   X:1, Z:1

Dungeon: Ruins of Kingsmith Tower
Type: Barbarian Stronghold
Total Size: 11
B0000011.RDB,   X:-1, Z:-2
B0000012.RDB,   X:-1, Z:-1
B0000008.RDB,   X:-1, Z:0
B0000012.RDB,   X:0, Z:-3
N0000015.RDB,   X:0, Z:-2
N0000009.RDB,   X:0, Z:-1
W0000023.RDB,   X:0, Z:0
B0000009.RDB,   X:0, Z:1
B0000014.RDB,   X:1, Z:-2
B0000001.RDB,   X:1, Z:-1
B0000013.RDB,   X:1, Z:0

Dungeon: Ruins of Tower Kingwing
Type: Vampire Haunt
Total Size: 12
B0000009.RDB,   X:-3, Z:-1
B0000003.RDB,   X:-2, Z:-2
N0000014.RDB,   X:-2, Z:-1
B0000007.RDB,   X:-2, Z:0
B0000009.RDB,   X:-1, Z:-2
N0000001.RDB,   X:-1, Z:-1
W0000021.RDB,   X:-1, Z:0
B0000011.RDB,   X:-1, Z:1
B0000006.RDB,   X:0, Z:-1
N0000070.RDB,   X:0, Z:0
B0000012.RDB,   X:0, Z:1
B0000007.RDB,   X:1, Z:0

Dungeon: The Cabal of Barbyna
Type: Coven
Total Size: 12
B0000011.RDB,   X:-2, Z:-1
B0000013.RDB,   X:-1, Z:-2
N0000022.RDB,   X:-1, Z:-1
B0000010.RDB,   X:-1, Z:0
B0000003.RDB,   X:0, Z:-2
W0000029.RDB,   X:0, Z:-1
W0000004.RDB,   X:0, Z:0
B0000001.RDB,   X:0, Z:1
B0000011.RDB,   X:1, Z:-2
N0000080.RDB,   X:1, Z:-1
B0000006.RDB,   X:1, Z:0
B0000013.RDB,   X:2, Z:-1

Dungeon: Ruins of Buckingcroft Orchard
Type: Barbarian Stronghold
Total Size: 13
B0000005.RDB,   X:-1, Z:-1
B0000003.RDB,   X:-1, Z:0
B0000008.RDB,   X:0, Z:-2
W0000017.RDB,   X:0, Z:-1
N0000027.RDB,   X:0, Z:0
B0000010.RDB,   X:0, Z:1
B0000008.RDB,   X:1, Z:-2
N0000051.RDB,   X:1, Z:-1
B0000010.RDB,   X:1, Z:0
B0000010.RDB,   X:2, Z:-2
N0000021.RDB,   X:2, Z:-1
B0000012.RDB,   X:2, Z:0
B0000010.RDB,   X:3, Z:-1

Dungeon: Ruins of The Gaerham Farmstead
Type: Laboratory
Total Size: 11
B0000014.RDB,   X:-1, Z:0
B0000002.RDB,   X:-1, Z:1
B0000008.RDB,   X:-1, Z:2
B0000008.RDB,   X:0, Z:-1
N0000040.RDB,   X:0, Z:0
W0000004.RDB,   X:0, Z:1
N0000031.RDB,   X:0, Z:2
B0000004.RDB,   X:0, Z:3
B0000010.RDB,   X:1, Z:0
B0000014.RDB,   X:1, Z:1
B0000008.RDB,   X:1, Z:2

Dungeon: The Stronghold of Greensmith
Type: Human Stronghold
Total Size: 8
B0000010.RDB,   X:-1, Z:0
B0000003.RDB,   X:0, Z:-1
W0000023.RDB,   X:0, Z:0
B0000003.RDB,   X:0, Z:1
B0000004.RDB,   X:1, Z:-1
W0000003.RDB,   X:1, Z:0
B0000002.RDB,   X:1, Z:1
B0000002.RDB,   X:2, Z:0

Dungeon: Castle Coppering
Type: Laboratory
Total Size: 13
B0000007.RDB,   X:-1, Z:0
B0000014.RDB,   X:-1, Z:1
B0000004.RDB,   X:-1, Z:2
B0000005.RDB,   X:0, Z:-1
N0000033.RDB,   X:0, Z:0
N0000091.RDB,   X:0, Z:1
N0000069.RDB,   X:0, Z:2
B0000010.RDB,   X:0, Z:3
B0000007.RDB,   X:1, Z:-1
W0000005.RDB,   X:1, Z:0
B0000008.RDB,   X:1, Z:1
B0000005.RDB,   X:1, Z:2
B0000007.RDB,   X:2, Z:0

Dungeon: Peryval's Guard
Type: Human Stronghold
Total Size: 8
B0000003.RDB,   X:-1, Z:0
B0000001.RDB,   X:0, Z:-1
W0000027.RDB,   X:0, Z:0
B0000009.RDB,   X:0, Z:1
B0000002.RDB,   X:1, Z:-1
W0000008.RDB,   X:1, Z:0
B0000001.RDB,   X:1, Z:1
B0000009.RDB,   X:2, Z:0

Dungeon: The Citadel of Hawkwing
Type: Laboratory
Total Size: 13
B0000004.RDB,   X:-2, Z:-1
B0000003.RDB,   X:-2, Z:0
B0000013.RDB,   X:-1, Z:-2
W0000029.RDB,   X:-1, Z:-1
N0000003.RDB,   X:-1, Z:0
B0000004.RDB,   X:-1, Z:1
B0000012.RDB,   X:0, Z:-1
N0000042.RDB,   X:0, Z:0
B0000003.RDB,   X:0, Z:1
B0000005.RDB,   X:1, Z:-1
N0000090.RDB,   X:1, Z:0
B0000001.RDB,   X:1, Z:1
B0000006.RDB,   X:2, Z:0

Dungeon: The Wickford Vaults
Type: Forgotten Cemetery
Total Size: 5
B0000013.RDB,   X:-1, Z:0
B0000006.RDB,   X:0, Z:-1
M0000008.RDB,   X:0, Z:0
B0000000.RDB,   X:0, Z:1
B0000011.RDB,   X:1, Z:0

Dungeon: The Tower of Ashford
Type: Human Stronghold
Total Size: 8
B0000001.RDB,   X:-1, Z:0
B0000010.RDB,   X:-1, Z:1
B0000013.RDB,   X:0, Z:-1
W0000015.RDB,   X:0, Z:0
W0000020.RDB,   X:0, Z:1
B0000005.RDB,   X:0, Z:2
B0000011.RDB,   X:1, Z:0
B0000001.RDB,   X:1, Z:1

Dungeon: Ysyna Cultus
Type: Coven
Total Size: 13
B0000007.RDB,   X:-1, Z:-2
B0000007.RDB,   X:-1, Z:-1
B0000008.RDB,   X:-1, Z:0
B0000002.RDB,   X:0, Z:-3
N0000068.RDB,   X:0, Z:-2
N0000088.RDB,   X:0, Z:-1
N0000017.RDB,   X:0, Z:0
B0000001.RDB,   X:0, Z:1
B0000008.RDB,   X:1, Z:-3
N0000030.RDB,   X:1, Z:-2
B0000013.RDB,   X:1, Z:-1
B0000007.RDB,   X:1, Z:0
B0000003.RDB,   X:2, Z:-2

Dungeon: The Yeomston Vaults
Type: Forgotten Cemetery
Total Size: 5
B0000000.RDB,   X:-1, Z:0
B0000000.RDB,   X:0, Z:-1
M0000003.RDB,   X:0, Z:0
B0000007.RDB,   X:0, Z:1
B0000000.RDB,   X:1, Z:0

Dungeon: Alabane Laboratory
Type: Laboratory
Total Size: 8
B0000005.RDB,   X:-1, Z:0
B0000009.RDB,   X:0, Z:-1
W0000007.RDB,   X:0, Z:0
B0000013.RDB,   X:0, Z:1
B0000003.RDB,   X:1, Z:-1
W0000017.RDB,   X:1, Z:0
B0000008.RDB,   X:1, Z:1
B0000014.RDB,   X:2, Z:0

Dungeon: Ruins of Moorwing Orchard
Type: Prison
Total Size: 8
B0000014.RDB,   X:-2, Z:0
B0000010.RDB,   X:-1, Z:-1
W0000005.RDB,   X:-1, Z:0
B0000004.RDB,   X:-1, Z:1
B0000013.RDB,   X:0, Z:-1
W0000020.RDB,   X:0, Z:0
B0000008.RDB,   X:0, Z:1
B0000013.RDB,   X:1, Z:0

Dungeon: The Nest of Yagrigon
Type: Spider Nest
Total Size: 10
B0000002.RDB,   X:-1, Z:0
B0000008.RDB,   X:0, Z:-1
N0000001.RDB,   X:0, Z:0
B0000012.RDB,   X:0, Z:1
B0000004.RDB,   X:1, Z:-2
N0000012.RDB,   X:1, Z:-1
W0000018.RDB,   X:1, Z:0
B0000013.RDB,   X:1, Z:1
B0000007.RDB,   X:2, Z:-1
B0000014.RDB,   X:2, Z:0

Dungeon: The Buckinging Graveyard
Type: Forgotten Cemetery
Total Size: 5
B0000009.RDB,   X:-1, Z:0
B0000009.RDB,   X:0, Z:-1
M0000000.RDB,   X:0, Z:0
B0000004.RDB,   X:0, Z:1
B0000013.RDB,   X:1, Z:0

Dungeon: Ruins of Castle Yeomford
Type: Spider Nest
Total Size: 8
B0000002.RDB,   X:-1, Z:-1
B0000005.RDB,   X:-1, Z:0
B0000000.RDB,   X:0, Z:-2
W0000006.RDB,   X:0, Z:-1
W0000004.RDB,   X:0, Z:0
B0000010.RDB,   X:0, Z:1
B0000000.RDB,   X:1, Z:-1
B0000003.RDB,   X:1, Z:0

Dungeon: The Copperham Cemetery
Type: Forgotten Cemetery
Total Size: 5
B0000010.RDB,   X:-1, Z:0
B0000000.RDB,   X:0, Z:-1
M0000002.RDB,   X:0, Z:0
B0000000.RDB,   X:0, Z:1
B0000002.RDB,   X:1, Z:0

Dungeon: Ruins of Castle Wicksley
Type: Desecrated Temple
Total Size: 13
B0000000.RDB,   X:-1, Z:-1
B0000004.RDB,   X:-1, Z:0
B0000012.RDB,   X:0, Z:-2
W0000015.RDB,   X:0, Z:-1
N0000025.RDB,   X:0, Z:0
B0000013.RDB,   X:0, Z:1
B0000014.RDB,   X:1, Z:-2
W0000014.RDB,   X:1, Z:-1
B0000007.RDB,   X:1, Z:0
B0000012.RDB,   X:2, Z:-2
N0000005.RDB,   X:2, Z:-1
B0000007.RDB,   X:2, Z:0
B0000008.RDB,   X:3, Z:-1

Dungeon: Tower Greenwing
Type: Barbarian Stronghold
Total Size: 10
B0000000.RDB,   X:-1, Z:0
B0000002.RDB,   X:0, Z:-1
N0000071.RDB,   X:0, Z:0
B0000007.RDB,   X:0, Z:1
B0000004.RDB,   X:1, Z:-2
W0000012.RDB,   X:1, Z:-1
N0000019.RDB,   X:1, Z:0
B0000006.RDB,   X:1, Z:1
B0000014.RDB,   X:2, Z:-1
B0000001.RDB,   X:2, Z:0

Dungeon: Ruins of Woodham Tower
Type: Giant Stronghold
Total Size: 11
B0000006.RDB,   X:-3, Z:0
B0000001.RDB,   X:-2, Z:-1
W0000023.RDB,   X:-2, Z:0
B0000007.RDB,   X:-2, Z:1
B0000010.RDB,   X:-1, Z:-1
N0000054.RDB,   X:-1, Z:0
B0000013.RDB,   X:-1, Z:1
B0000013.RDB,   X:0, Z:-1
N0000036.RDB,   X:0, Z:0
B0000009.RDB,   X:0, Z:1
B0000014.RDB,   X:1, Z:0

Dungeon: Ruins of The Mooring Farmstead
Type: Barbarian Stronghold
Total Size: 8
B0000004.RDB,   X:-2, Z:0
B0000014.RDB,   X:-1, Z:-1
N0000059.RDB,   X:-1, Z:0
B0000001.RDB,   X:-1, Z:1
B0000006.RDB,   X:0, Z:-1
N0000045.RDB,   X:0, Z:0
B0000007.RDB,   X:0, Z:1
B0000004.RDB,   X:1, Z:0

Dungeon: The Graves of Wickham
Type: Cemetery
Total Size: 5
B0000006.RDB,   X:-1, Z:0
B0000003.RDB,   X:0, Z:-1
M0000001.RDB,   X:0, Z:0
B0000001.RDB,   X:0, Z:1
B0000012.RDB,   X:1, Z:0

Dungeon: Ruins of Tower Yeomcroft
Type: Desecrated Temple
Total Size: 12
B0000013.RDB,   X:-1, Z:0
B0000007.RDB,   X:-1, Z:1
B0000008.RDB,   X:-1, Z:2
B0000000.RDB,   X:0, Z:-1
N0000038.RDB,   X:0, Z:0
N0000008.RDB,   X:0, Z:1
W0000016.RDB,   X:0, Z:2
B0000001.RDB,   X:0, Z:3
B0000009.RDB,   X:1, Z:0
N0000043.RDB,   X:1, Z:1
B0000014.RDB,   X:1, Z:2
B0000005.RDB,   X:2, Z:1

Dungeon: The Lair of Morertor
Type: Spider Nest
Total Size: 10
B0000006.RDB,   X:-2, Z:1
B0000010.RDB,   X:-1, Z:0
N0000050.RDB,   X:-1, Z:1
B0000001.RDB,   X:-1, Z:2
B0000003.RDB,   X:0, Z:-1
N0000085.RDB,   X:0, Z:0
N0000016.RDB,   X:0, Z:1
B0000013.RDB,   X:0, Z:2
B0000011.RDB,   X:1, Z:0
B0000007.RDB,   X:1, Z:1

Dungeon: The Hold of Yeomhart
Type: Crypt
Total Size: 8
B0000011.RDB,   X:-2, Z:0
B0000014.RDB,   X:-1, Z:-1
N0000048.RDB,   X:-1, Z:0
B0000005.RDB,   X:-1, Z:1
B0000005.RDB,   X:0, Z:-1
N0000020.RDB,   X:0, Z:0
B0000001.RDB,   X:0, Z:1
B0000007.RDB,   X:1, Z:0

Dungeon: The Cabal of Evelyrrya
Type: Coven
Total Size: 10
B0000012.RDB,   X:-2, Z:0
B0000003.RDB,   X:-1, Z:-1
N0000044.RDB,   X:-1, Z:0
B0000013.RDB,   X:-1, Z:1
B0000014.RDB,   X:0, Z:-2
N0000033.RDB,   X:0, Z:-1
W0000015.RDB,   X:0, Z:0
B0000000.RDB,   X:0, Z:1
B0000009.RDB,   X:1, Z:-1
B0000006.RDB,   X:1, Z:0

Dungeon: The Elabyth Convergence
Type: Barbarian Stronghold
Total Size: 13
B0000004.RDB,   X:-2, Z:0
B0000002.RDB,   X:-1, Z:-1
W0000016.RDB,   X:-1, Z:0
B0000012.RDB,   X:-1, Z:1
B0000004.RDB,   X:-1, Z:2
B0000000.RDB,   X:0, Z:-1
N0000003.RDB,   X:0, Z:0
W0000022.RDB,   X:0, Z:1
W0000004.RDB,   X:0, Z:2
B0000002.RDB,   X:0, Z:3
B0000000.RDB,   X:1, Z:0
B0000010.RDB,   X:1, Z:1
B0000009.RDB,   X:1, Z:2

Dungeon: Ruins of Old Elyzanna's Hovel
Type: Natural Cave
Total Size: 12
B0000004.RDB,   X:-1, Z:0
B0000006.RDB,   X:0, Z:-1
N0000011.RDB,   X:0, Z:0
B0000010.RDB,   X:0, Z:1
B0000003.RDB,   X:1, Z:-1
W0000018.RDB,   X:1, Z:0
W0000026.RDB,   X:1, Z:1
B0000006.RDB,   X:1, Z:2
B0000003.RDB,   X:2, Z:-1
W0000011.RDB,   X:2, Z:0
B0000008.RDB,   X:2, Z:1
B0000003.RDB,   X:3, Z:0

Dungeon: The Tombs of Greensmith
Type: Cemetery
Total Size: 5
B0000007.RDB,   X:-1, Z:0
B0000001.RDB,   X:0, Z:-1
M0000003.RDB,   X:0, Z:0
B0000014.RDB,   X:0, Z:1
B0000002.RDB,   X:1, Z:0

Dungeon: Ruins of Wicking's Hold
Type: Barbarian Stronghold
Total Size: 10
B0000006.RDB,   X:-1, Z:-1
B0000014.RDB,   X:-1, Z:0
B0000010.RDB,   X:0, Z:-2
W0000025.RDB,   X:0, Z:-1
N0000008.RDB,   X:0, Z:0
B0000013.RDB,   X:0, Z:1
B0000007.RDB,   X:1, Z:-1
N0000021.RDB,   X:1, Z:0
B0000004.RDB,   X:1, Z:1
B0000008.RDB,   X:2, Z:0

Dungeon: The Kingston Graveyard
Type: Forgotten Cemetery
Total Size: 5
B0000003.RDB,   X:-1, Z:0
B0000007.RDB,   X:0, Z:-1
M0000002.RDB,   X:0, Z:0
B0000000.RDB,   X:0, Z:1
B0000007.RDB,   X:1, Z:0

Dungeon: Ruins of Hawksmith Court
Type: Coven
Total Size: 8
B0000011.RDB,   X:-1, Z:0
B0000005.RDB,   X:0, Z:-1
N0000092.RDB,   X:0, Z:0
B0000011.RDB,   X:0, Z:1
B0000005.RDB,   X:1, Z:-1
W0000017.RDB,   X:1, Z:0
B0000014.RDB,   X:1, Z:1
B0000005.RDB,   X:2, Z:0

Dungeon: The Demebonunah Cavern
Type: Natural Cave
Total Size: 13
B0000003.RDB,   X:-2, Z:-2
B0000011.RDB,   X:-2, Z:-1
B0000010.RDB,   X:-2, Z:0
B0000001.RDB,   X:-1, Z:-3
W0000001.RDB,   X:-1, Z:-2
N0000072.RDB,   X:-1, Z:-1
N0000063.RDB,   X:-1, Z:0
B0000006.RDB,   X:-1, Z:1
B0000000.RDB,   X:0, Z:-2
B0000003.RDB,   X:0, Z:-1
N0000029.RDB,   X:0, Z:0
B0000011.RDB,   X:0, Z:1
B0000004.RDB,   X:1, Z:0

Dungeon: Skoker
Type: Giant Stronghold
Total Size: 10
B0000001.RDB,   X:-2, Z:0
B0000012.RDB,   X:-2, Z:1
B0000011.RDB,   X:-1, Z:-1
W0000006.RDB,   X:-1, Z:0
N0000018.RDB,   X:-1, Z:1
B0000006.RDB,   X:-1, Z:2
B0000002.RDB,   X:0, Z:-1
N0000009.RDB,   X:0, Z:0
B0000005.RDB,   X:0, Z:1
B0000012.RDB,   X:1, Z:0

Dungeon: The Tower of Ashton
Type: Desecrated Temple
Total Size: 12
B0000008.RDB,   X:-2, Z:-2
B0000000.RDB,   X:-2, Z:-1
B0000009.RDB,   X:-1, Z:-3
N0000011.RDB,   X:-1, Z:-2
N0000017.RDB,   X:-1, Z:-1
B0000002.RDB,   X:-1, Z:0
B0000004.RDB,   X:0, Z:-2
N0000050.RDB,   X:0, Z:-1
N0000059.RDB,   X:0, Z:0
B0000007.RDB,   X:0, Z:1
B0000000.RDB,   X:1, Z:-1
B0000001.RDB,   X:1, Z:0

Dungeon: The Dungeon of Gondistyr
Type: Prison
Total Size: 12
B0000007.RDB,   X:-1, Z:-2
B0000005.RDB,   X:-1, Z:-1
B0000003.RDB,   X:-1, Z:0
B0000011.RDB,   X:0, Z:-3
W0000000.RDB,   X:0, Z:-2
W0000016.RDB,   X:0, Z:-1
W0000015.RDB,   X:0, Z:0
B0000011.RDB,   X:0, Z:1
B0000005.RDB,   X:1, Z:-2
W0000012.RDB,   X:1, Z:-1
B0000006.RDB,   X:1, Z:0
B0000009.RDB,   X:2, Z:-1

Dungeon: Ruins of Gaerhouse's Guard
Type: Ruined Castle
Total Size: 13
B0000007.RDB,   X:-1, Z:-2
B0000013.RDB,   X:-1, Z:-1
B0000007.RDB,   X:-1, Z:0
B0000013.RDB,   X:0, Z:-3
W0000029.RDB,   X:0, Z:-2
N0000012.RDB,   X:0, Z:-1
N0000054.RDB,   X:0, Z:0
B0000007.RDB,   X:0, Z:1
B0000011.RDB,   X:1, Z:-3
N0000081.RDB,   X:1, Z:-2
B0000007.RDB,   X:1, Z:-1
B0000014.RDB,   X:1, Z:0
B0000001.RDB,   X:2, Z:-2

Dungeon: Ruins of Kingford Hall
Type: Crypt
Total Size: 10
B0000000.RDB,   X:-2, Z:-1
B0000010.RDB,   X:-2, Z:0
B0000006.RDB,   X:-1, Z:-2
N0000011.RDB,   X:-1, Z:-1
N0000052.RDB,   X:-1, Z:0
B0000013.RDB,   X:-1, Z:1
B0000014.RDB,   X:0, Z:-1
N0000060.RDB,   X:0, Z:0
B0000000.RDB,   X:0, Z:1
B0000005.RDB,   X:1, Z:0

Dungeon: Ruins of Hearthcroft Palace
Type: Laboratory
Total Size: 10
B0000004.RDB,   X:-1, Z:-1
B0000004.RDB,   X:-1, Z:0
B0000012.RDB,   X:0, Z:-2
W0000005.RDB,   X:0, Z:-1
N0000070.RDB,   X:0, Z:0
B0000010.RDB,   X:0, Z:1
B0000007.RDB,   X:1, Z:-1
N0000067.RDB,   X:1, Z:0
B0000002.RDB,   X:1, Z:1
B0000001.RDB,   X:2, Z:0

Dungeon: The Hearthhart Cemetery
Type: Cemetery
Total Size: 5
B0000014.RDB,   X:-1, Z:0
B0000007.RDB,   X:0, Z:-1
M0000003.RDB,   X:0, Z:0
B0000004.RDB,   X:0, Z:1
B0000006.RDB,   X:1, Z:0

Dungeon: The Copperwing Cemetery
Type: Forgotten Cemetery
Total Size: 5
B0000006.RDB,   X:-1, Z:0
B0000011.RDB,   X:0, Z:-1
M0000001.RDB,   X:0, Z:0
B0000014.RDB,   X:0, Z:1
B0000003.RDB,   X:1, Z:0

Dungeon: The Moorton Vaults
Type: Cemetery
Total Size: 5
B0000003.RDB,   X:-1, Z:0
B0000005.RDB,   X:0, Z:-1
M0000004.RDB,   X:0, Z:0
B0000009.RDB,   X:0, Z:1
B0000000.RDB,   X:1, Z:0

Dungeon: The Moorcroft Crypts
Type: Forgotten Cemetery
Total Size: 5
B0000012.RDB,   X:-1, Z:0
B0000013.RDB,   X:0, Z:-1
M0000002.RDB,   X:0, Z:0
B0000006.RDB,   X:0, Z:1
B0000010.RDB,   X:1, Z:0

Dungeon: Tower Moorhouse
Type: Vampire Haunt
Total Size: 8
B0000010.RDB,   X:-2, Z:0
B0000007.RDB,   X:-1, Z:-1
W0000013.RDB,   X:-1, Z:0
B0000005.RDB,   X:-1, Z:1
B0000004.RDB,   X:0, Z:-1
N0000000.RDB,   X:0, Z:0
B0000008.RDB,   X:0, Z:1
B0000007.RDB,   X:1, Z:0

Dungeon: The Wickston Tombs
Type: Forgotten Cemetery
Total Size: 5
B0000003.RDB,   X:-1, Z:0
B0000009.RDB,   X:0, Z:-1
M0000005.RDB,   X:0, Z:0
B0000000.RDB,   X:0, Z:1
B0000002.RDB,   X:1, Z:0

Dungeon: Trististyr Laboratory
Type: Laboratory
Total Size: 14
B0000007.RDB,   X:-1, Z:0
B0000002.RDB,   X:-1, Z:1
B0000000.RDB,   X:-1, Z:2
B0000004.RDB,   X:-1, Z:3
B0000011.RDB,   X:0, Z:-1
W0000023.RDB,   X:0, Z:0
N0000040.RDB,   X:0, Z:1
W0000019.RDB,   X:0, Z:2
N0000032.RDB,   X:0, Z:3
B0000001.RDB,   X:0, Z:4
B0000004.RDB,   X:1, Z:0
B0000010.RDB,   X:1, Z:1
B0000007.RDB,   X:1, Z:2
B0000007.RDB,   X:1, Z:3

Dungeon: The Coven of Belladyssa
Type: Coven
Total Size: 12
B0000002.RDB,   X:-1, Z:-1
B0000005.RDB,   X:-1, Z:0
B0000011.RDB,   X:0, Z:-2
N0000068.RDB,   X:0, Z:-1
N0000064.RDB,   X:0, Z:0
B0000007.RDB,   X:0, Z:1
B0000003.RDB,   X:1, Z:-3
N0000068.RDB,   X:1, Z:-2
W0000017.RDB,   X:1, Z:-1
B0000005.RDB,   X:1, Z:0
B0000002.RDB,   X:2, Z:-2
B0000001.RDB,   X:2, Z:-1

Dungeon: The Prison of Andyctor
Type: Prison
Total Size: 10
B0000014.RDB,   X:-1, Z:0
B0000011.RDB,   X:-1, Z:1
B0000005.RDB,   X:0, Z:-1
W0000015.RDB,   X:0, Z:0
W0000027.RDB,   X:0, Z:1
B0000006.RDB,   X:0, Z:2
B0000008.RDB,   X:1, Z:0
N0000052.RDB,   X:1, Z:1
B0000004.RDB,   X:1, Z:2
B0000007.RDB,   X:2, Z:1

Dungeon: Ruins of Castle Yeomsmith
Type: Orc Stronghold
Total Size: 10
B0000012.RDB,   X:-1, Z:-1
B0000009.RDB,   X:-1, Z:0
B0000010.RDB,   X:0, Z:-2
W0000028.RDB,   X:0, Z:-1
N0000063.RDB,   X:0, Z:0
B0000000.RDB,   X:0, Z:1
B0000005.RDB,   X:1, Z:-2
N0000016.RDB,   X:1, Z:-1
B0000012.RDB,   X:1, Z:0
B0000010.RDB,   X:2, Z:-1

Dungeon: The Stronghold of Woodhouse
Type: Ruined Castle
Total Size: 12
B0000000.RDB,   X:-1, Z:0
B0000014.RDB,   X:0, Z:-1
N0000083.RDB,   X:0, Z:0
B0000009.RDB,   X:0, Z:1
B0000004.RDB,   X:1, Z:-2
N0000038.RDB,   X:1, Z:-1
W0000016.RDB,   X:1, Z:0
B0000009.RDB,   X:1, Z:1
B0000001.RDB,   X:2, Z:-2
N0000029.RDB,   X:2, Z:-1
B0000006.RDB,   X:2, Z:0
B0000002.RDB,   X:3, Z:-1

Dungeon: The Kingwing Cemetery
Type: Forgotten Cemetery
Total Size: 5
B0000013.RDB,   X:-1, Z:0
B0000009.RDB,   X:0, Z:-1
M0000002.RDB,   X:0, Z:0
B0000006.RDB,   X:0, Z:1
B0000011.RDB,   X:1, Z:0

Dungeon: Hawkhouse's Guard
Type: Ruined Castle
Total Size: 14
B0000002.RDB,   X:-1, Z:0
B0000012.RDB,   X:0, Z:-1
N0000065.RDB,   X:0, Z:0
B0000008.RDB,   X:0, Z:1
B0000010.RDB,   X:1, Z:-1
N0000047.RDB,   X:1, Z:0
B0000002.RDB,   X:1, Z:1
B0000002.RDB,   X:2, Z:-1
W0000017.RDB,   X:2, Z:0
B0000011.RDB,   X:2, Z:1
B0000008.RDB,   X:3, Z:-1
N0000034.RDB,   X:3, Z:0
B0000003.RDB,   X:3, Z:1
B0000009.RDB,   X:4, Z:0

Dungeon: The Hold of Andistair
Type: Human Stronghold
Total Size: 14
B0000005.RDB,   X:-4, Z:0
B0000006.RDB,   X:-3, Z:-1
W0000008.RDB,   X:-3, Z:0
B0000000.RDB,   X:-3, Z:1
B0000004.RDB,   X:-2, Z:-1
N0000077.RDB,   X:-2, Z:0
B0000009.RDB,   X:-2, Z:1
B0000013.RDB,   X:-1, Z:-1
N0000023.RDB,   X:-1, Z:0
B0000010.RDB,   X:-1, Z:1
B0000000.RDB,   X:0, Z:-1
N0000054.RDB,   X:0, Z:0
B0000010.RDB,   X:0, Z:1
B0000013.RDB,   X:1, Z:0

Dungeon: Inveranan Hall
Type: Vampire Haunt
Total Size: 10
B0000014.RDB,   X:-1, Z:0
B0000006.RDB,   X:0, Z:-1
W0000013.RDB,   X:0, Z:0
B0000011.RDB,   X:0, Z:1
B0000007.RDB,   X:1, Z:-1
W0000020.RDB,   X:1, Z:0
W0000028.RDB,   X:1, Z:1
B0000007.RDB,   X:1, Z:2
B0000004.RDB,   X:2, Z:0
B0000012.RDB,   X:2, Z:1

Dungeon: Ruins of Hearthfield Manor
Type: Human Stronghold
Total Size: 8
B0000003.RDB,   X:-1, Z:0
B0000004.RDB,   X:0, Z:-1
N0000009.RDB,   X:0, Z:0
B0000012.RDB,   X:0, Z:1
B0000005.RDB,   X:1, Z:-1
N0000006.RDB,   X:1, Z:0
B0000007.RDB,   X:1, Z:1
B0000005.RDB,   X:2, Z:0

Dungeon: The Fortress of Hearthton
Type: Spider Nest
Total Size: 12
B0000008.RDB,   X:-2, Z:-1
B0000000.RDB,   X:-2, Z:0
B0000009.RDB,   X:-2, Z:1
B0000009.RDB,   X:-1, Z:-2
W0000014.RDB,   X:-1, Z:-1
W0000013.RDB,   X:-1, Z:0
N0000055.RDB,   X:-1, Z:1
B0000006.RDB,   X:-1, Z:2
B0000010.RDB,   X:0, Z:-1
N0000005.RDB,   X:0, Z:0
B0000008.RDB,   X:0, Z:1
B0000012.RDB,   X:1, Z:0

Dungeon: Ruins of Kingsmith Orchard
Type: Ruined Castle
Total Size: 8
B0000011.RDB,   X:-1, Z:0
B0000014.RDB,   X:0, Z:-1
N0000063.RDB,   X:0, Z:0
B0000010.RDB,   X:0, Z:1
B0000006.RDB,   X:1, Z:-1
N0000020.RDB,   X:1, Z:0
B0000014.RDB,   X:1, Z:1
B0000009.RDB,   X:2, Z:0

Dungeon: The Hold of Gaerston
Type: Desecrated Temple
Total Size: 12
B0000002.RDB,   X:-2, Z:-1
B0000009.RDB,   X:-1, Z:-2
N0000003.RDB,   X:-1, Z:-1
B0000004.RDB,   X:-1, Z:0
B0000008.RDB,   X:0, Z:-2
N0000063.RDB,   X:0, Z:-1
W0000001.RDB,   X:0, Z:0
B0000006.RDB,   X:0, Z:1
B0000014.RDB,   X:1, Z:-2
N0000075.RDB,   X:1, Z:-1
B0000006.RDB,   X:1, Z:0
B0000002.RDB,   X:2, Z:-1

Dungeon: The Tower of Kingsmith
Type: Spider Nest
Total Size: 13
B0000011.RDB,   X:-1, Z:-2
B0000000.RDB,   X:-1, Z:-1
B0000009.RDB,   X:-1, Z:0
B0000008.RDB,   X:0, Z:-3
N0000063.RDB,   X:0, Z:-2
W0000026.RDB,   X:0, Z:-1
W0000002.RDB,   X:0, Z:0
B0000010.RDB,   X:0, Z:1
B0000005.RDB,   X:1, Z:-3
N0000079.RDB,   X:1, Z:-2
B0000000.RDB,   X:1, Z:-1
B0000011.RDB,   X:1, Z:0
B0000004.RDB,   X:2, Z:-2

Dungeon: The Tower of Hawkhouse
Type: Desecrated Temple
