Region: Alik'r Desert
W0000015.RDB,   X:0, Z:0
W0000012.RDB,   X:0, Z:1
B0000013.RDB,   X:0, Z:2
B0000012.RDB,   X:1, Z:0
W0000001.RDB,   X:1, Z:1
B0000009.RDB,   X:1, Z:2
B0000013.RDB,   X:2, Z:0
N0000076.RDB,   X:2, Z:1
B0000006.RDB,   X:2, Z:2
B0000000.RDB,   X:3, Z:1

Dungeon: Daghoth
Type: Giant Stronghold
Total Size: 8
B0000011.RDB,   X:-1, Z:0
B0000011.RDB,   X:-1, Z:1
B0000004.RDB,   X:0, Z:-1
N0000023.RDB,   X:0, Z:0
N0000007.RDB,   X:0, Z:1
B0000012.RDB,   X:0, Z:2
B0000003.RDB,   X:1, Z:0
B0000004.RDB,   X:1, Z:1

Dungeon: The Mhafylar Cemetery
Type: Cemetery
Total Size: 5
B0000002.RDB,   X:-1, Z:0
B0000001.RDB,   X:0, Z:-1
M0000005.RDB,   X:0, Z:0
B0000002.RDB,   X:0, Z:1
B0000002.RDB,   X:1, Z:0

Dungeon: The Tomb of Invereham
Type: Crypt
Total Size: 8
B0000011.RDB,   X:-1, Z:-1
B0000009.RDB,   X:-1, Z:0
B0000014.RDB,   X:0, Z:-2
W0000014.RDB,   X:0, Z:-1
N0000071.RDB,   X:0, Z:0
B0000000.RDB,   X:0, Z:1
B0000002.RDB,   X:1, Z:-1
B0000014.RDB,   X:1, Z:0

Dungeon: Ruins of Lhigin Hall
Type: Ruined Castle
Total Size: 8
B0000011.RDB,   X:-1, Z:-1
B0000012.RDB,   X:-1, Z:0
B0000010.RDB,   X:0, Z:-2
N0000081.RDB,   X:0, Z:-1
N0000060.RDB,   X:0, Z:0
B0000013.RDB,   X:0, Z:1
B0000001.RDB,   X:1, Z:-1
B0000002.RDB,   X:1, Z:0

Dungeon: THe Crypts of B'ugten
Type: Forgotten Cemetery
Total Size: 5
B0000003.RDB,   X:-1, Z:0
B0000005.RDB,   X:0, Z:-1
M0000006.RDB,   X:0, Z:0
B0000011.RDB,   X:0, Z:1
B0000008.RDB,   X:1, Z:0

Dungeon: Ruins of Castle Kist
Type: Mine
Total Size: 12
B0000000.RDB,   X:-1, Z:0
B0000007.RDB,   X:-1, Z:1
B0000010.RDB,   X:0, Z:-1
N0000086.RDB,   X:0, Z:0
N0000028.RDB,   X:0, Z:1
B0000005.RDB,   X:0, Z:2
B0000008.RDB,   X:1, Z:0
W0000000.RDB,   X:1, Z:1
N0000052.RDB,   X:1, Z:2
B0000001.RDB,   X:1, Z:3
B0000001.RDB,   X:2, Z:1
B0000005.RDB,   X:2, Z:2

Dungeon: The Cairn of Vladobion
Type: Crypt
Total Size: 13
B0000002.RDB,   X:-1, Z:0
B0000000.RDB,   X:0, Z:-2
B0000008.RDB,   X:0, Z:-1
N0000063.RDB,   X:0, Z:0
B0000011.RDB,   X:0, Z:1
B0000008.RDB,   X:1, Z:-3
N0000029.RDB,   X:1, Z:-2
W0000028.RDB,   X:1, Z:-1
N0000091.RDB,   X:1, Z:0
B0000000.RDB,   X:1, Z:1
B0000006.RDB,   X:2, Z:-2
B0000007.RDB,   X:2, Z:-1
B0000007.RDB,   X:2, Z:0

Dungeon: Faugta's Guard
Type: Desecrated Temple
Total Size: 14
B0000001.RDB,   X:-1, Z:-1
B0000002.RDB,   X:-1, Z:0
B0000009.RDB,   X:-1, Z:1
B0000004.RDB,   X:-1, Z:2
B0000000.RDB,   X:0, Z:-2
N0000080.RDB,   X:0, Z:-1
W0000028.RDB,   X:0, Z:0
N0000055.RDB,   X:0, Z:1
W0000006.RDB,   X:0, Z:2
B0000013.RDB,   X:0, Z:3
B0000014.RDB,   X:1, Z:-1
B0000007.RDB,   X:1, Z:0
B0000010.RDB,   X:1, Z:1
B0000003.RDB,   X:1, Z:2

Dungeon: The Fortress of Therdke
Type: Ruined Castle
Total Size: 13
B0000005.RDB,   X:-1, Z:0
B0000007.RDB,   X:0, Z:-2
B0000010.RDB,   X:0, Z:-1
W0000022.RDB,   X:0, Z:0
B0000002.RDB,   X:0, Z:1
B0000007.RDB,   X:1, Z:-3
N0000039.RDB,   X:1, Z:-2
N0000039.RDB,   X:1, Z:-1
N0000084.RDB,   X:1, Z:0
B0000002.RDB,   X:1, Z:1
B0000006.RDB,   X:2, Z:-2
B0000012.RDB,   X:2, Z:-1
B0000007.RDB,   X:2, Z:0

Dungeon: Ruins of Tower Baerhton
Type: Desecrated Temple
Total Size: 12
B0000013.RDB,   X:-1, Z:0
B0000008.RDB,   X:0, Z:-1
N0000033.RDB,   X:0, Z:0
B0000003.RDB,   X:0, Z:1
B0000011.RDB,   X:1, Z:-2
N0000040.RDB,   X:1, Z:-1
N0000019.RDB,   X:1, Z:0
B0000001.RDB,   X:1, Z:1
B0000012.RDB,   X:2, Z:-2
N0000047.RDB,   X:2, Z:-1
B0000008.RDB,   X:2, Z:0
B0000001.RDB,   X:3, Z:-1

Dungeon: The Baalateusessa Cavern
Type: Natural Cave
Total Size: 8
B0000012.RDB,   X:-1, Z:-1
B0000014.RDB,   X:-1, Z:0
B0000010.RDB,   X:0, Z:-2
N0000012.RDB,   X:0, Z:-1
N0000049.RDB,   X:0, Z:0
B0000009.RDB,   X:0, Z:1
B0000001.RDB,   X:1, Z:-1
B0000010.RDB,   X:1, Z:0

Dungeon: The Slugir Cemetery
Type: Forgotten Cemetery
Total Size: 5
B0000001.RDB,   X:-1, Z:0
B0000010.RDB,   X:0, Z:-1
M0000002.RDB,   X:0, Z:0
B0000007.RDB,   X:0, Z:1
B0000007.RDB,   X:1, Z:0

Dungeon: Ruins of Rlictt Court
Type: Desecrated Temple
Total Size: 12
B0000007.RDB,   X:-2, Z:1
B0000003.RDB,   X:-1, Z:0
N0000010.RDB,   X:-1, Z:1
B0000002.RDB,   X:-1, Z:2
B0000005.RDB,   X:0, Z:-1
W0000018.RDB,   X:0, Z:0
N0000042.RDB,   X:0, Z:1
B0000007.RDB,   X:0, Z:2
B0000013.RDB,   X:1, Z:0
N0000021.RDB,   X:1, Z:1
B0000010.RDB,   X:1, Z:2
B0000005.RDB,   X:2, Z:1

Dungeon: Ruins of Fherkin's Guard
Type: Ruined Castle
Total Size: 13
B0000006.RDB,   X:-1, Z:0
B0000005.RDB,   X:-1, Z:1
B0000011.RDB,   X:-1, Z:2
B0000006.RDB,   X:0, Z:-1
N0000055.RDB,   X:0, Z:0
W0000003.RDB,   X:0, Z:1
N0000091.RDB,   X:0, Z:2
B0000004.RDB,   X:0, Z:3
B0000013.RDB,   X:1, Z:0
B0000014.RDB,   X:1, Z:1
W0000026.RDB,   X:1, Z:2
B0000005.RDB,   X:1, Z:3
B0000011.RDB,   X:2, Z:2

Dungeon: Ruins of The D'uctem Farmstead
Type: Human Stronghold
Total Size: 11
B0000013.RDB,   X:-2, Z:0
B0000004.RDB,   X:-1, Z:-1
N0000017.RDB,   X:-1, Z:0
B0000010.RDB,   X:-1, Z:1
B0000008.RDB,   X:0, Z:-1
N0000068.RDB,   X:0, Z:0
B0000001.RDB,   X:0, Z:1
B0000002.RDB,   X:1, Z:-1
N0000043.RDB,   X:1, Z:0
B0000014.RDB,   X:1, Z:1
B0000002.RDB,   X:2, Z:0

Dungeon: Ruins of The F'ormte Cabin
Type: Desecrated Temple
Total Size: 10
B0000012.RDB,   X:-2, Z:1
B0000004.RDB,   X:-1, Z:0
N0000019.RDB,   X:-1, Z:1
B0000002.RDB,   X:-1, Z:2
B0000005.RDB,   X:0, Z:-1
N0000031.RDB,   X:0, Z:0
N0000001.RDB,   X:0, Z:1
B0000013.RDB,   X:0, Z:2
B0000013.RDB,   X:1, Z:0
B0000014.RDB,   X:1, Z:1

Dungeon: The Baeght Cemetery
Type: Forgotten Cemetery
Total Size: 5
B0000011.RDB,   X:-1, Z:0
B0000004.RDB,   X:0, Z:-1
M0000008.RDB,   X:0, Z:0
B0000011.RDB,   X:0, Z:1
B0000008.RDB,   X:1, Z:0

Dungeon: Ruins of The Old Caarme Hovel
Type: Desecrated Temple
Total Size: 8
B0000011.RDB,   X:-1, Z:-1
B0000000.RDB,   X:-1, Z:0
B0000002.RDB,   X:0, Z:-2
N0000019.RDB,   X:0, Z:-1
N0000036.RDB,   X:0, Z:0
B0000011.RDB,   X:0, Z:1
B0000000.RDB,   X:1, Z:-1
B0000004.RDB,   X:1, Z:0

Dungeon: Ruins of Slarkon Grange
Type: Scorpion Nest
Total Size: 8
B0000012.RDB,   X:-2, Z:0
B0000002.RDB,   X:-1, Z:-1
N0000081.RDB,   X:-1, Z:0
B0000001.RDB,   X:-1, Z:1
B0000000.RDB,   X:0, Z:-1
N0000077.RDB,   X:0, Z:0
B0000005.RDB,   X:0, Z:1
B0000011.RDB,   X:1, Z:0

Dungeon: Ruins of Old Grefylta's Farm
Type: Human Stronghold
Total Size: 13
B0000013.RDB,   X:-1, Z:0
B0000001.RDB,   X:0, Z:-2
B0000014.RDB,   X:0, Z:-1
N0000009.RDB,   X:0, Z:0
B0000013.RDB,   X:0, Z:1
B0000012.RDB,   X:1, Z:-3
N0000086.RDB,   X:1, Z:-2
N0000005.RDB,   X:1, Z:-1
N0000041.RDB,   X:1, Z:0
B0000004.RDB,   X:1, Z:1
B0000010.RDB,   X:2, Z:-2
B0000012.RDB,   X:2, Z:-1
B0000002.RDB,   X:2, Z:0

Dungeon: Demiblothessa Minster
Type: Desecrated Temple
Total Size: 10
B0000013.RDB,   X:-2, Z:-1
B0000001.RDB,   X:-2, Z:0
B0000000.RDB,   X:-1, Z:-2
N0000070.RDB,   X:-1, Z:-1
N0000077.RDB,   X:-1, Z:0
B0000004.RDB,   X:-1, Z:1
B0000004.RDB,   X:0, Z:-1
W0000007.RDB,   X:0, Z:0
B0000004.RDB,   X:0, Z:1
B0000009.RDB,   X:1, Z:0

Dungeon: Ruins of Vuster Grange
Type: Crypt
Total Size: 13
B0000005.RDB,   X:-1, Z:0
B0000005.RDB,   X:0, Z:-1
N0000078.RDB,   X:0, Z:0
B0000010.RDB,   X:0, Z:1
B0000011.RDB,   X:1, Z:-1
N0000060.RDB,   X:1, Z:0
B0000007.RDB,   X:1, Z:1
B0000001.RDB,   X:2, Z:-1
N0000053.RDB,   X:2, Z:0
N0000043.RDB,   X:2, Z:1
B0000004.RDB,   X:2, Z:2
B0000014.RDB,   X:3, Z:0
B0000001.RDB,   X:3, Z:1

Dungeon: Castle Khojon
Type: Scorpion Nest
Total Size: 8
B0000002.RDB,   X:-2, Z:0
B0000010.RDB,   X:-1, Z:-1
W0000020.RDB,   X:-1, Z:0
B0000006.RDB,   X:-1, Z:1
B0000001.RDB,   X:0, Z:-1
N0000028.RDB,   X:0, Z:0
B0000004.RDB,   X:0, Z:1
B0000002.RDB,   X:1, Z:0

Dungeon: The Web of Gromgod
Type: Scorpion Nest
Total Size: 12
B0000009.RDB,   X:-2, Z:-2
B0000004.RDB,   X:-2, Z:-1
B0000014.RDB,   X:-1, Z:-3
N0000092.RDB,   X:-1, Z:-2
N0000023.RDB,   X:-1, Z:-1
B0000006.RDB,   X:-1, Z:0
B0000008.RDB,   X:0, Z:-2
N0000088.RDB,   X:0, Z:-1
W0000018.RDB,   X:0, Z:0
B0000005.RDB,   X:0, Z:1
B0000008.RDB,   X:1, Z:-1
B0000004.RDB,   X:1, Z:0

Dungeon: Ruins of The Chesun Cabin
Type: Ruined Castle
Total Size: 13
B0000007.RDB,   X:-1, Z:-1
B0000014.RDB,   X:-1, Z:0
B0000010.RDB,   X:0, Z:-2
N0000073.RDB,   X:0, Z:-1
N0000033.RDB,   X:0, Z:0
B0000012.RDB,   X:0, Z:1
B0000010.RDB,   X:1, Z:-1
N0000056.RDB,   X:1, Z:0
B0000006.RDB,   X:1, Z:1
B0000012.RDB,   X:2, Z:-1
N0000012.RDB,   X:2, Z:0
B0000010.RDB,   X:2, Z:1
B0000005.RDB,   X:3, Z:0

Dungeon: The Tomb of Barovar
Type: Crypt
Total Size: 12
B0000013.RDB,   X:-2, Z:-1
B0000004.RDB,   X:-2, Z:0
B0000001.RDB,   X:-1, Z:-2
N0000070.RDB,   X:-1, Z:-1
N0000032.RDB,   X:-1, Z:0
B0000005.RDB,   X:-1, Z:1
B0000004.RDB,   X:0, Z:-2
N0000032.RDB,   X:0, Z:-1
N0000073.RDB,   X:0, Z:0
B0000012.RDB,   X:0, Z:1
B0000005.RDB,   X:1, Z:-1
B0000014.RDB,   X:1, Z:0

Dungeon: The Web of Anker
Type: Scorpion Nest
Total Size: 14
B0000011.RDB,   X:-1, Z:0
B0000002.RDB,   X:0, Z:-1
N0000083.RDB,   X:0, Z:0
B0000002.RDB,   X:0, Z:1
B0000000.RDB,   X:1, Z:-1
W0000000.RDB,   X:1, Z:0
B0000014.RDB,   X:1, Z:1
B0000006.RDB,   X:2, Z:-1
N0000049.RDB,   X:2, Z:0
B0000004.RDB,   X:2, Z:1
B0000005.RDB,   X:3, Z:-1
N0000085.RDB,   X:3, Z:0
B0000007.RDB,   X:3, Z:1
B0000001.RDB,   X:4, Z:0

Dungeon: Glork's Hold
Type: Human Stronghold
Total Size: 14
B0000013.RDB,   X:-1, Z:-1
B0000002.RDB,   X:-1, Z:0
B0000002.RDB,   X:-1, Z:1
B0000009.RDB,   X:-1, Z:2
B0000010.RDB,   X:0, Z:-2
N0000059.RDB,   X:0, Z:-1
W0000024.RDB,   X:0, Z:0
N0000003.RDB,   X:0, Z:1
N0000014.RDB,   X:0, Z:2
B0000013.RDB,   X:0, Z:3
B0000011.RDB,   X:1, Z:-1
B0000006.RDB,   X:1, Z:0
B0000012.RDB,   X:1, Z:1
B0000011.RDB,   X:1, Z:2

Dungeon: Ruins of Therhtta Court
Type: Desecrated Temple
Total Size: 13
B0000005.RDB,   X:-2, Z:0
B0000004.RDB,   X:-2, Z:1
B0000013.RDB,   X:-2, Z:2
B0000005.RDB,   X:-1, Z:-1
N0000006.RDB,   X:-1, Z:0
W0000026.RDB,   X:-1, Z:1
N0000073.RDB,   X:-1, Z:2
B0000010.RDB,   X:-1, Z:3
B0000008.RDB,   X:0, Z:-1
N0000065.RDB,   X:0, Z:0
B0000005.RDB,   X:0, Z:1
B0000005.RDB,   X:0, Z:2
B0000009.RDB,   X:1, Z:0

Dungeon: Faofylar's Guard
Type: Crypt
Total Size: 8
B0000014.RDB,   X:-1, Z:0
B0000013.RDB,   X:0, Z:-1
N0000034.RDB,   X:0, Z:0
B0000004.RDB,   X:0, Z:1
B0000009.RDB,   X:1, Z:-1
W0000006.RDB,   X:1, Z:0
B0000009.RDB,   X:1, Z:1
B0000007.RDB,   X:2, Z:0

Dungeon: The Den of Shesh'kern
Type: Dragon's Den
Total Size: 12
B0000000.RDB,   X:-2, Z:1
B0000007.RDB,   X:-1, Z:0
N0000057.RDB,   X:-1, Z:1
B0000012.RDB,   X:-1, Z:2
B0000006.RDB,   X:0, Z:-1
N0000046.RDB,   X:0, Z:0
N0000000.RDB,   X:0, Z:1
N0000006.RDB,   X:0, Z:2
B0000014.RDB,   X:0, Z:3
B0000014.RDB,   X:1, Z:0
B0000003.RDB,   X:1, Z:1
B0000006.RDB,   X:1, Z:2

Dungeon: Ruins of The Thelprn Plantation
Type: Desecrated Temple
Total Size: 8
B0000009.RDB,   X:-1, Z:-1
B0000005.RDB,   X:-1, Z:0
B0000006.RDB,   X:0, Z:-2
N0000056.RDB,   X:0, Z:-1
W0000006.RDB,   X:0, Z:0
B0000003.RDB,   X:0, Z:1
B0000013.RDB,   X:1, Z:-1
B0000013.RDB,   X:1, Z:0

Dungeon: Dhortar Tower
Type: Natural Cave
Total Size: 8
B0000004.RDB,   X:-1, Z:0
B0000006.RDB,   X:0, Z:-1
N0000047.RDB,   X:0, Z:0
B0000000.RDB,   X:0, Z:1
B0000009.RDB,   X:1, Z:-1
N0000053.RDB,   X:1, Z:0
B0000007.RDB,   X:1, Z:1
B0000002.RDB,   X:2, Z:0

Dungeon: The C'eldur Cemetery
Type: Forgotten Cemetery
Total Size: 5
B0000013.RDB,   X:-1, Z:0
B0000007.RDB,   X:0, Z:-1
M0000003.RDB,   X:0, Z:0
B0000009.RDB,   X:0, Z:1
B0000000.RDB,   X:1, Z:0

Dungeon: The Citadel of Cyorpen
Type: Mine
Total Size: 12
B0000007.RDB,   X:-1, Z:-2
B0000005.RDB,   X:-1, Z:-1
B0000006.RDB,   X:-1, Z:0
B0000013.RDB,   X:0, Z:-3
N0000076.RDB,   X:0, Z:-2
W0000005.RDB,   X:0, Z:-1
W0000005.RDB,   X:0, Z:0
B0000002.RDB,   X:0, Z:1
B0000009.RDB,   X:1, Z:-2
W0000009.RDB,   X:1, Z:-1
B0000014.RDB,   X:1, Z:0
B0000001.RDB,   X:2, Z:-1

Dungeon: Shrestta Tower
Type: Desecrated Temple
Total Size: 8
B0000000.RDB,   X:-2, Z:0
B0000004.RDB,   X:-1, Z:-1
N0000030.RDB,   X:-1, Z:0
B0000006.RDB,   X:-1, Z:1
B0000005.RDB,   X:0, Z:-1
N0000092.RDB,   X:0, Z:0
B0000009.RDB,   X:0, Z:1
B0000010.RDB,   X:1, Z:0

Dungeon: Ruins of Saughtur Orchard
Type: Crypt
Total Size: 12
B0000009.RDB,   X:-2, Z:-2
B0000010.RDB,   X:-2, Z:-1
B0000012.RDB,   X:-1, Z:-3
N0000018.RDB,   X:-1, Z:-2
N0000009.RDB,   X:-1, Z:-1
B0000007.RDB,   X:-1, Z:0
B0000009.RDB,   X:0, Z:-2
N0000074.RDB,   X:0, Z:-1
N0000022.RDB,   X:0, Z:0
B0000008.RDB,   X:0, Z:1
B0000012.RDB,   X:1, Z:-1
B0000011.RDB,   X:1, Z:0

Dungeon: Ruins of The Hold of Shag
Type: Natural Cave
Total Size: 13
B0000004.RDB,   X:-1, Z:0
B0000014.RDB,   X:0, Z:-1
N0000005.RDB,   X:0, Z:0
B0000003.RDB,   X:0, Z:1
B0000005.RDB,   X:1, Z:-1
N0000027.RDB,   X:1, Z:0
B0000002.RDB,   X:1, Z:1
B0000014.RDB,   X:2, Z:-2
N0000010.RDB,   X:2, Z:-1
N0000045.RDB,   X:2, Z:0
B0000003.RDB,   X:2, Z:1
B0000003.RDB,   X:3, Z:-1
B0000003.RDB,   X:3, Z:0

Dungeon: The Gripbith Web
Type: Scorpion Nest
Total Size: 8
B0000008.RDB,   X:-1, Z:0
B0000008.RDB,   X:0, Z:-1
W0000018.RDB,   X:0, Z:0
B0000007.RDB,   X:0, Z:1
B0000008.RDB,   X:1, Z:-1
W0000016.RDB,   X:1, Z:0
B0000010.RDB,   X:1, Z:1
B0000006.RDB,   X:2, Z:0

Dungeon: Ruins of C'orc Court
Type: Natural Cave
Total Size: 8
B0000000.RDB,   X:-2, Z:0
B0000001.RDB,   X:-1, Z:-1
N0000058.RDB,   X:-1, Z:0
B0000014.RDB,   X:-1, Z:1
B0000007.RDB,   X:0, Z:-1
N0000074.RDB,   X:0, Z:0
B0000001.RDB,   X:0, Z:1
B0000002.RDB,   X:1, Z:0

Dungeon: Ruins of Baerd'kern Manor
Type: Scorpion Nest
Total Size: 12
B0000007.RDB,   X:-1, Z:-1
B0000001.RDB,   X:-1, Z:0
B0000002.RDB,   X:0, Z:-2
N0000030.RDB,   X:0, Z:-1
W0000012.RDB,   X:0, Z:0
B0000011.RDB,   X:0, Z:1
B0000003.RDB,   X:1, Z:-1
W0000014.RDB,   X:1, Z:0
W0000007.RDB,   X:1, Z:1
B0000002.RDB,   X:1, Z:2
B0000013.RDB,   X:2, Z:0
B0000008.RDB,   X:2, Z:1

Dungeon: The Stronghold of Merdun
Type: Crypt
Total Size: 10
B0000000.RDB,   X:-1, Z:0
B0000014.RDB,   X:-1, Z:1
B0000007.RDB,   X:0, Z:-1
N0000011.RDB,   X:0, Z:0
W0000026.RDB,   X:0, Z:1
B0000002.RDB,   X:0, Z:2
B0000002.RDB,   X:1, Z:-1
N0000033.RDB,   X:1, Z:0
B0000014.RDB,   X:1, Z:1
B0000014.RDB,   X:2, Z:0

Dungeon: The Crypt of Nebuchanon
Type: Crypt
Total Size: 12
B0000002.RDB,   X:-2, Z:-1
B0000009.RDB,   X:-1, Z:-2
W0000007.RDB,   X:-1, Z:-1
B0000000.RDB,   X:-1, Z:0
B0000006.RDB,   X:0, Z:-3
W0000022.RDB,   X:0, Z:-2
N0000082.RDB,   X:0, Z:-1
N0000033.RDB,   X:0, Z:0
B0000007.RDB,   X:0, Z:1
B0000007.RDB,   X:1, Z:-2
B0000005.RDB,   X:1, Z:-1
B0000008.RDB,   X:1, Z:0

Dungeon: Ruins of The Old Murchke Place
Type: Crypt
Total Size: 12
B0000003.RDB,   X:-2, Z:-1
B0000011.RDB,   X:-2, Z:0
B0000013.RDB,   X:-1, Z:-2
N0000063.RDB,   X:-1, Z:-1
N0000084.RDB,   X:-1, Z:0
B0000000.RDB,   X:-1, Z:1
B0000012.RDB,   X:0, Z:-2
N0000064.RDB,   X:0, Z:-1
N0000061.RDB,   X:0, Z:0
B0000012.RDB,   X:0, Z:1
B0000004.RDB,   X:1, Z:-1
B0000000.RDB,   X:1, Z:0

Dungeon: Ruins of Dherht Hall
Type: Natural Cave
Total Size: 10
B0000010.RDB,   X:-1, Z:0
B0000007.RDB,   X:0, Z:-1
N0000034.RDB,   X:0, Z:0
B0000000.RDB,   X:0, Z:1
B0000006.RDB,   X:1, Z:-2
N0000038.RDB,   X:1, Z:-1
N0000019.RDB,   X:1, Z:0
B0000005.RDB,   X:1, Z:1
B0000004.RDB,   X:2, Z:-1
B0000002.RDB,   X:2, Z:0

Dungeon: The Quarry of Faeghtir
Type: Mine
Total Size: 12
B0000011.RDB,   X:-3, Z:1
B0000009.RDB,   X:-2, Z:0
W0000026.RDB,   X:-2, Z:1
B0000002.RDB,   X:-2, Z:2
B0000007.RDB,   X:-1, Z:-1
N0000046.RDB,   X:-1, Z:0
N0000015.RDB,   X:-1, Z:1
B0000007.RDB,   X:-1, Z:2
B0000008.RDB,   X:0, Z:-1
N0000043.RDB,   X:0, Z:0
B0000000.RDB,   X:0, Z:1
B0000008.RDB,   X:1, Z:0

Dungeon: Ruins of Old Tistka's Shack
Type: Crypt
Total Size: 8
B0000007.RDB,   X:-1, Z:-1
B0000009.RDB,   X:-1, Z:0
B0000008.RDB,   X:0, Z:-2
N0000017.RDB,   X:0, Z:-1
W0000020.RDB,   X:0, Z:0
B0000013.RDB,   X:0, Z:1
B0000007.RDB,   X:1, Z:-1
B0000011.RDB,   X:1, Z:0

Dungeon: Yagertor's Nest
Type: Scorpion Nest
Total Size: 12
B0000011.RDB,   X:-2, Z:0
B0000012.RDB,   X:-2, Z:1
B0000001.RDB,   X:-1, Z:-1
W0000003.RDB,   X:-1, Z:0
W0000012.RDB,   X:-1, Z:1
B0000002.RDB,   X:-1, Z:2
B0000011.RDB,   X:0, Z:-2
N0000082.RDB,   X:0, Z:-1
W0000025.RDB,   X:0, Z:0
B0000004.RDB,   X:0, Z:1
B0000009.RDB,   X:1, Z:-1
B0000005.RDB,   X:1, Z:0

Dungeon: The Balulither Rectory
Type: Desecrated Temple
Total Size: 12
B0000007.RDB,   X:-1, Z:-1
B0000005.RDB,   X:-1, Z:0
B0000013.RDB,   X:0, Z:-2
W0000011.RDB,   X:0, Z:-1
N0000067.RDB,   X:0, Z:0
B0000014.RDB,   X:0, Z:1
B0000005.RDB,   X:1, Z:-3
W0000000.RDB,   X:1, Z:-2
N0000022.RDB,   X:1, Z:-1
B0000013.RDB,   X:1, Z:0
B0000006.RDB,   X:2, Z:-2
B0000007.RDB,   X:2, Z:-1

Dungeon: The Den of Rharmer
Type: Dragon's Den
Total Size: 12
B0000012.RDB,   X:-2, Z:-1
B0000009.RDB,   X:-1, Z:-2
W0000022.RDB,   X:-1, Z:-1
B0000007.RDB,   X:-1, Z:0
B0000006.RDB,   X:0, Z:-3
N0000090.RDB,   X:0, Z:-2
N0000045.RDB,   X:0, Z:-1
W0000022.RDB,   X:0, Z:0
B0000013.RDB,   X:0, Z:1
B0000006.RDB,   X:1, Z:-2
B0000001.RDB,   X:1, Z:-1
B0000006.RDB,   X:1, Z:0

Dungeon: The Fortress of Nhorchen
Type: Giant Stronghold
Total Size: 10
B0000006.RDB,   X:-1, Z:-1
B0000007.RDB,   X:-1, Z:0
B0000007.RDB,   X:0, Z:-2
W0000013.RDB,   X:0, Z:-1
N0000011.RDB,   X:0, Z:0
B0000010.RDB,   X:0, Z:1
B0000013.RDB,   X:1, Z:-2
N0000037.RDB,   X:1, Z:-1
B0000002.RDB,   X:1, Z:0
B0000010.RDB,   X:2, Z:-1

Dungeon: Ruins of Boster Manor
Type: Ruined Castle
Total Size: 12
B0000007.RDB,   X:-1, Z:0
B0000006.RDB,   X:0, Z:-1
N0000022.RDB,   X:0, Z:0
B0000005.RDB,   X:0, Z:1
B0000002.RDB,   X:1, Z:-1
W0000007.RDB,   X:1, Z:0
W0000022.RDB,   X:1, Z:1
B0000006.RDB,   X:1, Z:2
B0000006.RDB,   X:2, Z:-1
N0000062.RDB,   X:2, Z:0
B0000004.RDB,   X:2, Z:1
B0000012.RDB,   X:3, Z:0

Dungeon: Vellen's Hold
Type: Barbarian Stronghold
Total Size: 8
B0000002.RDB,   X:-1, Z:-1
B0000004.RDB,   X:-1, Z:0
B0000010.RDB,   X:0, Z:-2
W0000025.RDB,   X:0, Z:-1
W0000008.RDB,   X:0, Z:0
B0000009.RDB,   X:0, Z:1
B0000012.RDB,   X:1, Z:-1
B0000014.RDB,   X:1, Z:0

Dungeon: Ruins of Bluchin Court
Type: Desecrated Temple
Total Size: 13
B0000001.RDB,   X:-2, Z:0
B0000012.RDB,   X:-1, Z:-1
N0000074.RDB,   X:-1, Z:0
B0000009.RDB,   X:-1, Z:1
B0000012.RDB,   X:0, Z:-1
N0000026.RDB,   X:0, Z:0
B0000009.RDB,   X:0, Z:1
B0000007.RDB,   X:1, Z:-2
W0000016.RDB,   X:1, Z:-1
N0000055.RDB,   X:1, Z:0
B0000004.RDB,   X:1, Z:1
B0000005.RDB,   X:2, Z:-1
B0000000.RDB,   X:2, Z:0

Dungeon: The Troglobith Web
Type: Scorpion Nest
Total Size: 12
B0000004.RDB,   X:-2, Z:-1
B0000012.RDB,   X:-1, Z:-2
N0000068.RDB,   X:-1, Z:-1
B0000004.RDB,   X:-1, Z:0
B0000003.RDB,   X:0, Z:-2
N0000051.RDB,   X:0, Z:-1
W0000009.RDB,   X:0, Z:0
B0000006.RDB,   X:0, Z:1
B0000001.RDB,   X:1, Z:-2
N0000029.RDB,   X:1, Z:-1
B0000009.RDB,   X:1, Z:0
B0000013.RDB,   X:2, Z:-1

Dungeon: Ruins of The Old Curpun Place
Type: Desecrated Temple
Total Size: 8
B0000010.RDB,   X:-2, Z:0
B0000003.RDB,   X:-1, Z:-1
N0000032.RDB,   X:-1, Z:0
B0000007.RDB,   X:-1, Z:1
B0000009.RDB,   X:0, Z:-1
N0000064.RDB,   X:0, Z:0
B0000003.RDB,   X:0, Z:1
B0000005.RDB,   X:1, Z:0

Dungeon: The Masoleum of Nebuchingus
Type: Crypt
Total Size: 12
B0000003.RDB,   X:-2, Z:0
B0000000.RDB,   X:-2, Z:1
B0000009.RDB,   X:-1, Z:-1
W0000023.RDB,   X:-1, Z:0
N0000026.RDB,   X:-1, Z:1
B0000010.RDB,   X:-1, Z:2
B0000005.RDB,   X:0, Z:-2
N0000034.RDB,   X:0, Z:-1
W0000025.RDB,   X:0, Z:0
B0000005.RDB,   X:0, Z:1
B0000003.RDB,   X:1, Z:-1
B0000006.RDB,   X:1, Z:0

Dungeon: Ruins of The Lhechin Farmstead
Type: Ruined Castle
Total Size: 10
